"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","site","interview_date","interview_age","sex","index","response"
"1643.0549999931827","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>","49","html-keyboard-response","0","1648","0.0-0.0","","","","","","","","","",""
"923.9949999901","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>","49","html-keyboard-response","1","2573","0.0-1.0-0.0","","","","","","","","","",""
"883.510000014212","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>","49","html-keyboard-response","2","3457","0.0-1.0-1.0","","","","","","","","","",""
"423.4700000088196","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>","49","html-keyboard-response","3","3881","0.0-1.0-2.0","","","","","","","","","",""
"337.54499998758547","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>","49","html-keyboard-response","4","4219","0.0-1.0-3.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","5220","0.0-2.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0201.wav","null","audio-keyboard-response","6","7111","0.0-2.0-1.0","","","","","","","","","",""
"1568.8150000059977","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","49","html-keyboard-response","7","8680","0.0-2.0-2.0","intel","201.wav","GUID","10123686969","10","09/24/2020","22","M","1","1"
"null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","8","18687","0.0-3.0","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ1710.WAV","null","audio-keyboard-response","9","20265","0.0-4.0-0.0","unaltered","1710.wav","GUID","10123686969","10","09/24/2020","22","M","1",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","20767","0.0-4.0-1.0","","","","","","","","","",""
"null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","html-keyboard-response","11","30772","0.0-5.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","31776","0.0-6.0-0.0","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0112.WAV","null","audio-keyboard-response","13","33483","0.0-6.0-1.0","","","","","","","","","",""
"2008.4750000096392","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","49","html-keyboard-response","14","35492","0.0-6.0-2.0","unintel","112.wav","GUID","10123686969","10","09/24/2020","22","M","3","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","15","40496","0.0-7.0-0.0","","","","","","","","","",""
